,cytoID,Hematoxylin_Mean_nuclei,Hematoxylin_Std_dev_nuclei,Hematoxylin_Min_nuclei,Hematoxylin_Max_nuclei,Hematoxylin_Median_nuclei,Eosin_Mean_nuclei,Eosin_Std_dev_nuclei,Eosin_Min_nuclei,Eosin_Max_nuclei,Hue_Mean_nuclei,Saturation_Mean_nuclei,Saturation_Std_dev_nuclei,Saturation_Min_nuclei,Saturation_Max_nuclei,Saturation_Median_nuclei,Eosin_Median_nuclei,Area_µm^2_nuclei,Length_µm_cyto,Circularity_cyto,Solidity_cyto,Max_diameter_µm_cyto,Min_diameter_µm_cyto,Perimeter_µm_cyto,Hematoxylin_Mean_cytoonly,Hematoxylin_Std_dev_cytoonly,Hematoxylin_Min_cytoonly,Hematoxylin_Max_cytoonly,Hematoxylin_Median_cytoonly,Eosin_Mean_cytoonly,Eosin_Std_dev_cytoonly,Eosin_Min_cytoonly,Eosin_Max_cytoonly,Hue_Mean_cytoonly,Saturation_Mean_cytoonly,Saturation_Std_dev_cytoonly,Saturation_Min_cytoonly,Saturation_Max_cytoonly,Saturation_Median_cytoonly,Eosin_Median_cytoonly,Area_µm^2_cytoonly
0,837,0.3095,0.0945,0.06,0.6984,0.3025,0.2581,0.1013,0.0578,1.2233,0.2809,0.5861,0.1088,0.2667,0.9779,0.5835,0.2425,103.9297,96.5451,0.9233,0.9877,32.4577,27.1076,96.55,0.0563,0.0425,-0.0014,0.6619,0.0435,0.0393,0.0384,-0.0108,0.925,0.2995,0.0803,0.1068,0.0,0.9489,0.0335,0.0275,580.8835
1,447,0.379,0.128,0.0738,0.8538,0.3595,0.3362,0.2064,0.0346,1.5976,0.2781,0.6463,0.1396,0.2408,1.0,0.6345,0.2835,87.9648,118.5585,0.3792,0.8847,33.1845,20.2777,118.56,0.0882,0.0408,-0.023,0.677,0.0835,0.1431,0.0781,0.0053,1.5916,0.348,0.2224,0.0871,0.0,1.0,0.2375,0.1405,336.1428
2,435,0.4304,0.1727,0.0384,1.0462,0.4145,0.4348,0.3306,0.0145,1.6237,0.2766,0.6905,0.1795,0.1371,1.0,0.6945,0.3355,70.8728,113.0823,0.3601,0.8372,29.356,18.7938,113.08,0.0922,0.0647,-0.0123,0.8207,0.0815,0.1572,0.0843,-0.0075,1.6237,0.354,0.2508,0.0988,0.0,1.0,0.2455,0.1545,295.5429
3,737,0.3011,0.1867,0.0271,1.3582,0.2535,0.2454,0.2487,-0.0462,1.6635,0.2763,0.5163,0.1824,0.1322,1.0,0.4885,0.1865,185.8348,95.8324,0.4951,0.9263,25.1982,21.2666,95.83,0.1458,0.1011,0.0019,1.2718,0.1255,0.1808,0.114,-0.0287,1.622,0.3327,0.3251,0.1391,0.0,1.0,0.2905,0.1805,176.0093
4,176,0.3344,0.136,0.0294,0.859,0.3345,0.3085,0.1938,0.0077,1.6237,0.2818,0.6056,0.1727,0.1388,1.0,0.6165,0.2725,87.9457,95.2849,0.4877,0.9188,27.8164,18.3996,95.28,0.0691,0.0297,-0.0063,0.6431,0.0655,0.1183,0.0629,-0.0013,0.6878,0.3425,0.2027,0.0729,0.0,0.8716,0.2135,0.0965,264.4129
5,81,0.3316,0.1588,0.0463,1.3299,0.3105,0.2349,0.1972,-0.0437,1.5938,0.2696,0.541,0.1714,0.1107,1.0,0.5615,0.2165,137.7836,110.8919,0.3442,0.8625,26.3837,18.9568,110.89,0.1516,0.0911,-0.0077,0.5912,0.1225,0.109,0.0902,-0.0433,0.4886,0.2886,0.2861,0.1503,0.008,0.8153,0.2415,0.0855,199.1937
6,514,0.2971,0.1352,0.0604,1.124,0.2645,0.2257,0.1768,-0.0322,1.5619,0.2754,0.5309,0.1444,0.1695,1.0,0.5195,0.1975,159.0102,90.0825,0.511,0.932,24.1009,18.2753,90.08,0.1551,0.0896,-0.0216,0.8775,0.1485,0.1347,0.0795,-0.0202,1.5315,0.2977,0.338,0.1499,0.0083,1.0,0.3365,0.1425,171.024
7,369,0.3891,0.1342,0.0844,1.6388,0.3605,0.2542,0.1309,-0.0608,1.5131,0.2672,0.6129,0.1193,0.1294,1.0,0.6085,0.2455,96.1353,90.0825,0.5048,0.9608,26.1768,17.9869,90.08,0.1458,0.0758,0.0019,0.5827,0.1265,0.0974,0.0834,-0.0608,0.4624,0.2824,0.2793,0.1278,0.0,0.8,0.2525,0.0645,229.8487
8,812,0.5294,0.2508,0.0516,1.5276,0.4775,0.4368,0.3141,0.0102,1.7081,0.2659,0.7131,0.1846,0.1713,1.0,0.7095,0.3205,100.2571,93.0943,0.4725,0.944,24.9302,18.5197,93.09,0.1233,0.0857,-0.025,0.8737,0.1035,0.1391,0.0979,-0.0241,1.7081,0.3247,0.2641,0.1269,0.0,1.0,0.2585,0.1305,225.6385
9,682,0.2402,0.0706,0.0498,0.5508,0.2365,0.2195,0.0897,0.0125,1.3239,0.2875,0.515,0.1065,0.0726,0.9795,0.5125,0.2105,79.4117,91.1777,0.4896,0.9492,25.3788,18.1246,91.18,0.0463,0.0317,-0.0158,0.4371,0.0465,0.0998,0.0616,-0.0024,0.4636,0.3469,0.1685,0.0828,0.0,0.7625,0.1525,0.0725,244.4581
